title,first_author,year,primary_area,subcategory,opened_url,evidence_json
"A Real-World WebAgent with Planning, Long Context Understanding, and Program Synthesis","Gur, Izzeddin",2023,Agent,网页、桌面与移动智能体,https://arxiv.org/abs/2307.12856,evidence/abd662cb969d2b5fb5bd.json
A Survey of Zero-shot Generalisation in Deep Reinforcement Learning,"Kirk, Robert",2023,Environment,理论基础、配置与可复现性,https://arxiv.org/abs/2111.09794,evidence/d3cea678f8040cb2816c.json
ART: Automatic multi-step reasoning and tool-use for large language models,"Paranjape, Bhargavi",2023,Agent,软件工程与代码智能体,https://arxiv.org/abs/2303.09014,evidence/4bfe83a7aaa2ae06d5f8.json
AgentCoder: Multi-Agent-based Code Generation with Iterative Testing and Optimisation,"Huang, Dong",2023,Agent,软件工程与代码智能体,https://arxiv.org/abs/2312.13010,evidence/a7a51d5ba473af9d3323.json
Agents: An Open-source Framework for Autonomous Language Agents,"Zhou, Wangchunshu",2023,Agent,通用与多代理方法,https://arxiv.org/abs/2309.07870,evidence/e852e9ce617c4bc0fa0f.json
AppAgent: Multimodal Agents as Smartphone Users,"Zhang, Chi",2023,Agent,网页、桌面与移动智能体,https://arxiv.org/abs/2312.13771,evidence/c0faa48fdba2e37ddcc2.json
AutoAgents: A Framework for Automatic Agent Generation,"Chen, Guangyao",2023,Agent,通用与多代理方法,https://arxiv.org/abs/2309.17288,evidence/af61a114dc0f6c7e072f.json
ChemCrow: Augmenting large-language models with chemistry tools,"Bran, Andres M",2023,Agent,科学与研究智能体,https://arxiv.org/abs/2304.05376,evidence/ed8621f3ca35e857a4ba.json
Chemist-X: Large Language Model-empowered Agent for Reaction Condition Recommendation in Chemical Synthesis,"Chen, Kexin",2023,Agent,科学与研究智能体,https://arxiv.org/abs/2311.10776,evidence/b5998eed3b905cf7ccfd.json
Clembench: Using Game Play to Evaluate Chat-Optimized Language Models as Conversational Agents,"Chalamalasetti, Kranti",2023,Environment,交互环境与评测基准,https://arxiv.org/abs/2305.13455,evidence/d67f3a7f80d6db2d843c.json
CodePlan: Repository-level Coding using LLMs and Planning,"Bairi, Ramakrishna",2023,Agent,软件工程与代码智能体,https://arxiv.org/abs/2309.12499,evidence/adf633d8a5d7d39fda7d.json
CogAgent: A Visual Language Model for GUI Agents,"Hong, Wenyi",2023,Agent,网页、桌面与移动智能体,https://arxiv.org/abs/2312.08914,evidence/5ba207976f68fdc95f93.json
Controlling Large Language Model-based Agents for Large-Scale Decision-Making: An Actor-Critic Approach,"Zhang, Bin",2023,Agent,通用与多代理方法,https://arxiv.org/abs/2311.13884,evidence/d820de664c7c3bd86fdc.json
Do Embodied Agents Dream of Pixelated Sheep: Embodied Decision Making using Language Guided World Modelling,"Nottingham, Kolby",2023,Environment,世界模型与模拟器,https://arxiv.org/abs/2301.12050,evidence/ca163ec886a40a665a45.json
GameGPT: Multi-agent Collaborative Framework for Game Development,"Chen, Dake",2023,Agent,科学与研究智能体,https://arxiv.org/abs/2310.08067,evidence/12ee33bd18138ced26b5.json
"Generative agent-based modeling with actions grounded in physical, social, or digital space using Concordia","Vezhnevets, Alexander Sasha",2023,Agent,通用与多代理方法,https://arxiv.org/abs/2312.03664,evidence/47ee3df258cb789f16a6.json
Gentopia: A Collaborative Platform for Tool-Augmented LLMs,"Xu, Binfeng",2023,Agent,科学与研究智能体,https://arxiv.org/abs/2308.04030,evidence/ce33c9707edc8296125f.json
InterCode: Standardizing and Benchmarking Interactive Coding with Execution Feedback,"Yang, John",2023,Environment,交互环境与评测基准,https://arxiv.org/abs/2306.14898,evidence/674c5579ba5134c68ae8.json
LMRL Gym: Benchmarks for Multi-Turn Reinforcement Learning with Language Models,"Abdulhai, Marwa",2023,Environment,交互环境与评测基准,https://arxiv.org/abs/2311.18232,evidence/f2901a35f8fe6da8e894.json
Language Agents with Reinforcement Learning for Strategic Play in the Werewolf Game,"Xu, Zelai",2023,Agent,通用与多代理方法,https://arxiv.org/abs/2310.18940,evidence/085e8ddba894b446fc6d.json
Large Language Models Are Semi-Parametric Reinforcement Learning Agents,"Zhang, Danyang",2023,Agent,具身智能体,https://arxiv.org/abs/2306.07929,evidence/30e161510cb12c2e7588.json
Lemur: Harmonizing Natural Language and Code for Language Agents,"Xu, Yiheng",2023,Agent,软件工程与代码智能体,https://arxiv.org/abs/2310.06830,evidence/2b52484ddea7ced686e9.json
Lyfe Agents: Generative agents for low-cost real-time social interactions,"Kaiya, Zhao",2023,Agent,通用与多代理方法,https://arxiv.org/abs/2310.02172,evidence/aac07c20468069f5f04d.json
"MechAgents: Large language model multi-agent collaborations can solve mechanics problems, generate new data, and integrate knowledge","Ni, Bo",2023,Agent,科学与研究智能体,https://arxiv.org/abs/2311.08166,evidence/0830ddd508f4782807b8.json
MetaAgents: Large Language Model Based Agents for Decision-Making on Teaming,"Li, Yuan",2023,Agent,通用与多代理方法,https://arxiv.org/abs/2310.06500,evidence/0a7d68aad624da30e32a.json
MindAgent: Emergent Gaming Interaction,"Gong, Ran",2023,Agent,具身智能体,https://arxiv.org/abs/2309.09971,evidence/9d797528c5c2a948cac7.json
Mobile-Env: Building Qualified Evaluation Benchmarks for LLM-GUI Interaction,"Zhang, Danyang",2023,Environment,交互环境与评测基准,https://arxiv.org/abs/2305.08144,evidence/bcb866037baacb56c46c.json
Multi-Agent Consensus Seeking via Large Language Models,"Chen, Huaben",2023,Agent,具身智能体,https://arxiv.org/abs/2310.20151,evidence/1f6769a0c6a1efd04bb2.json
OpenAgents: An Open Platform for Language Agents in the Wild,"Xie, Tianbao",2023,Agent,通用与多代理方法,https://arxiv.org/abs/2310.10634,evidence/79f5ae0792e3f5f6f888.json
PentestGPT: An LLM-empowered Automatic Penetration Testing Tool,"Deng, Gelei",2023,Agent,软件工程与代码智能体,https://arxiv.org/abs/2308.06782,evidence/6885f39ebfb369d0e995.json
"Plan, Eliminate, and Track -- Language Models are Good Teachers for Embodied Agents","Wu, Yue",2023,Agent,具身智能体,https://arxiv.org/abs/2305.02412,evidence/c05fe3bc1be506679376.json
ProAgent: Building Proactive Cooperative Agents with Large Language Models,"Zhang, Ceyao",2023,Agent,具身智能体,https://arxiv.org/abs/2308.11339,evidence/3687116a118e2520973c.json
RCAgent: Cloud Root Cause Analysis by Autonomous Agents with Tool-Augmented Large Language Models,"Wang, Zefan",2023,Agent,软件工程与代码智能体,https://arxiv.org/abs/2310.16340,evidence/7be5bf57d8784bbb00ad.json
S$^3$: Social-network Simulation System with Large Language Model-Empowered Agents,"Gao, Chen",2023,Agent,通用与多代理方法,https://arxiv.org/abs/2307.14984,evidence/bd8f43c6ce9ab88cfc4d.json
Self-Adaptive Large Language Model (LLM)-Based Multiagent Systems,"Nascimento, Nathalia",2023,Agent,通用与多代理方法,https://arxiv.org/abs/2307.06187,evidence/21a3eae5a62c90089741.json
Should we be going MAD? A Look at Multi-Agent Debate Strategies for LLMs,"Smit, Andries",2023,Harness,多代理协作编排,https://arxiv.org/abs/2311.17371,evidence/cb119af00aeb51c69d6d.json
SmartPlay: A Benchmark for LLMs as Intelligent Agents,"Wu, Yue",2023,Environment,交互环境与评测基准,https://arxiv.org/abs/2310.01557,evidence/7c12ff2f340a0a747c71.json
TPTU: Large Language Model-based AI Agents for Task Planning and Tool Usage,"Ruan, Jingqing",2023,Harness,工具调用与接口,https://arxiv.org/abs/2308.03427,evidence/2f9489852b6c5bbb3a7a.json
Theory of Mind for Multi-Agent Collaboration via Large Language Models,"Li, Huao",2023,Agent,科学与研究智能体,https://arxiv.org/abs/2310.10701,evidence/aaa67c4ce023140035e1.json
Think-in-Memory: Recalling and Post-thinking Enable LLMs with Long-Term Memory,"Liu, Lei",2023,Harness,记忆与上下文,https://arxiv.org/abs/2311.08719,evidence/1bc875d0cf367c7cba0c.json
Tool Documentation Enables Zero-Shot Tool-Usage with Large Language Models,"Hsieh, Cheng-Yu",2023,Harness,工具调用与接口,https://arxiv.org/abs/2308.00675,evidence/18c61c4519061a3a517c.json
Tool Learning with Foundation Models,"Qin, Yujia",2023,Harness,规划、搜索与反思,https://arxiv.org/abs/2304.08354,evidence/653e0bbee31e3f880c9d.json
ToolAlpaca: Generalized Tool Learning for Language Models with 3000 Simulated Cases,"Tang, Qiaoyu",2023,Harness,工具调用与接口,https://arxiv.org/abs/2306.05301,evidence/41eca3fea488c31de81a.json
ToolLLM: Facilitating Large Language Models to Master 16000+ Real-world APIs,"Qin, Yujia",2023,Harness,工具调用与接口,https://arxiv.org/abs/2307.16789,evidence/e83b9750d164ea195902.json
ToolTalk: Evaluating Tool-Usage in a Conversational Setting,"Farn, Nicholas",2023,Environment,交互环境与评测基准,https://arxiv.org/abs/2311.10775,evidence/7d696b51f3e23e1a4f3e.json
ToolkenGPT: Augmenting Frozen Language Models with Massive Tools via Tool Embeddings,"Hao, Shibo",2023,Harness,工具调用与接口,https://arxiv.org/abs/2305.11554,evidence/2bdb22a855fb49eba864.json
Towards A Unified Agent with Foundation Models,"Di Palo, Norman",2023,Agent,具身智能体,https://arxiv.org/abs/2307.09668,evidence/f8d2a13591fd7335806a.json
User Behavior Simulation with Large Language Model based Agents,"Wang, Lei",2023,Agent,通用与多代理方法,https://arxiv.org/abs/2306.02552,evidence/1bac8623b7faf9c97f0f.json
Walking Down the Memory Maze: Beyond Context Limit through Interactive Reading,"Chen, Howard",2023,Harness,记忆与上下文,https://arxiv.org/abs/2310.05029,evidence/914c71948282f0622ba7.json
"BEHAVIOR: Benchmark for Everyday Household Activities in Virtual, Interactive, and Ecological Environments",Sanjana Srivastava,2022,Environment,交互环境与评测基准,https://proceedings.mlr.press/v164/srivastava22a.html,evidence/01f4fde4b638e4e11fda.json
Inner Monologue: Embodied Reasoning through Planning with Language Models,"Huang, Wenlong",2022,Agent,具身智能体,https://arxiv.org/abs/2207.05608,evidence/6e48551f8ddd757f598d.json
Language Models as Zero-Shot Planners: Extracting Actionable Knowledge for Embodied Agents,"Huang, Wenlong",2022,Agent,具身智能体,https://arxiv.org/abs/2201.07207,evidence/69e013c3893c834def84.json
TALM: Tool Augmented Language Models,"Parisi, Aaron",2022,Harness,工具调用与接口,https://arxiv.org/abs/2205.12255,evidence/eed7bfea4e70a803f9f5.json
A Survey of Reinforcement Learning Algorithms for Dynamically Varying Environments,"Padakandla, Sindhu",2020,Environment,理论基础、配置与可复现性,https://arxiv.org/abs/2005.10619,evidence/20c2b0ccc6d782200449.json
Learning Software Configuration Spaces: A Systematic Literature Review,"Pereira, Juliana Alves",2019,Environment,理论基础、配置与可复现性,https://arxiv.org/abs/1906.03018,evidence/caff9a93d2931c193cd4.json
RLBench: The Robot Learning Benchmark & Learning Environment,"James, Stephen",2019,Environment,交互环境与评测基准,https://arxiv.org/abs/1909.12271,evidence/d02c9904ad2503dbd912.json
A survey on software testability,"Garousi, Vahid",2018,Environment,交互环境与评测基准,https://arxiv.org/abs/1801.02201,evidence/db5f5d53b0e55f1ac204.json
"A Comprehensive Survey in LLM(-Agent) Full Stack Safety: Data, Training and Deployment","Wang, Kun",2025,Harness,安全、权限与执行验证,https://arxiv.org/abs/2504.15585,evidence/6aa55ba9087047752c97.json
CWM: An Open-Weights LLM for Research on Code Generation with World Models,FAIR CodeGen team,2025,Environment,世界模型与模拟器,https://arxiv.org/abs/2510.02387,evidence/aca82306a4e952d0c0d7.json
HippoRAG: Neurobiologically Inspired Long-Term Memory for Large Language Models,"Gutiérrez, Bernal Jiménez",2024,Harness,记忆与上下文,https://arxiv.org/abs/2405.14831,evidence/51b1ae022a4ed8faf008.json
Larimar: Large Language Models with Episodic Memory Control,"Das, Payel",2024,Harness,记忆与上下文,https://arxiv.org/abs/2403.11901,evidence/f7245061cdf1ce3f1cde.json
Sleeper Agents: Training Deceptive LLMs that Persist Through Safety Training,"Hubinger, Evan",2024,Harness,安全、权限与执行验证,https://arxiv.org/abs/2401.05566,evidence/e5c0904211c7d0cc4437.json
Code Generation with AlphaCodium: From Prompt Engineering to Flow Engineering,"Ridnik, Tal",2024,Harness,规划、搜索与反思,https://arxiv.org/abs/2401.08500,evidence/f3008c1248fff44a59a2.json
Augmenting Language Models with Long-Term Memory,"Wang, Weizhi",2023,Harness,记忆与上下文,https://arxiv.org/abs/2306.07174,evidence/cf51363cdbda14da2bf5.json
ReConcile: Round-Table Conference Improves Reasoning via Consensus among Diverse LLMs,"Chen, Justin Chih-Yao",2023,Harness,多代理协作编排,https://arxiv.org/abs/2309.13007,evidence/ef43d07452d0224b0e61.json
Paired Open-Ended Trailblazer (POET): Endlessly Generating Increasingly Complex and Diverse Learning Environments and Their Solutions,"Wang, Rui",2019,Environment,理论基础、配置与可复现性,https://arxiv.org/abs/1901.01753,evidence/6f404dfaf8c5d549b2d5.json
"AI Gamestore: Scalable, Open-Ended Evaluation of Machine General Intelligence with Human Games","Ying, Lance",2026,Environment,具身、游戏与模拟环境,https://arxiv.org/abs/2602.17594,evidence/b0ffc905466a7a49a0e7.json
AutoWebWorld: Synthesizing Infinite Verifiable Web Environments via Finite State Machines,"Wu, Yifan",2026,Environment,环境生成与演化,https://arxiv.org/abs/2602.14296,evidence/3f2dbbf4323abcc8745f.json
Closing the Loop: Universal Repository Representation with RPG-Encoder,"Luo, Jane",2026,Agent,软件工程与代码智能体,https://arxiv.org/abs/2602.02084,evidence/9359d97485c20a3c0c86.json
Code2World: A GUI World Model via Renderable Code Generation,"Zheng, Yuhao",2026,Environment,世界模型与模拟器,https://arxiv.org/abs/2602.09856,evidence/3c2e21087ecb1704395f.json
Don't Act Blindly: Robust GUI Automation via Action-Effect Verification and Self-Correction,"Zhang, Yuzhe",2026,Environment,环境变化与鲁棒性,https://arxiv.org/abs/2604.05477,evidence/e78e277666b17bfc46a4.json
On Data Engineering for Scaling LLM Terminal Capabilities,"Pi, Renjie",2026,Environment,环境生成与演化,https://arxiv.org/abs/2602.21193,evidence/3ce7a4e0d41aa445a295.json
Quantifying Frontier LLM Capabilities for Container Sandbox Escape,"Marchand, Rahul",2026,Harness,安全、权限与执行验证,https://arxiv.org/abs/2603.02277,evidence/ad8c646423a3802df0d9.json
SCALER:Synthetic Scalable Adaptive Learning Environment for Reasoning,"Xu, Caijun",2026,Environment,环境生成与演化,https://arxiv.org/abs/2601.04809,evidence/c480e16d7bdee86192e4.json
"SWE-Hub: A Unified Production System for Scalable, Executable Software Engineering Tasks","Zeng, Yucheng",2026,Environment,环境生成与演化,https://arxiv.org/abs/2603.00575,evidence/bd701a15fed602226f6b.json
SWE-Lego: Pushing the Limits of Supervised Fine-tuning for Software Issue Resolving,"Tao, Chaofan",2026,Agent,软件工程与代码智能体,https://arxiv.org/abs/2601.01426,evidence/7dbe935f703d3afd9747.json
SWE-Universe: Scale Real-World Verifiable Environments to Millions,"Chen, Mouxiang",2026,Environment,环境生成与演化,https://arxiv.org/abs/2602.02361,evidence/db195f5def7f514df8a8.json
UI-Venus-1.5 Technical Report,Venus Team,2026,Agent,网页、桌面与移动智能体,https://arxiv.org/abs/2602.09082,evidence/ca0344e8dd593e354de4.json
Accelerating scientific discovery with Co-Scientist,"Gottweis, Juraj",2025,Agent,科学与研究智能体,https://arxiv.org/abs/2502.18864,evidence/7166f089a529484eabf5.json
AdaWorld: Learning Adaptable World Models with Latent Actions,Shenyuan Gao,2025,Environment,世界模型与模拟器,https://proceedings.mlr.press/v267/gao25u.html,evidence/ca883d875395dd7ff120.json
BugPilot: Complex Bug Generation for Efficient Learning of SWE Skills,"Sonwane, Atharv",2025,Agent,软件工程与代码智能体,https://arxiv.org/abs/2510.19898,evidence/84a9f6d63aef50d97b92.json
Cosmos World Foundation Model Platform for Physical AI,NVIDIA,2025,Environment,世界模型与模拟器,https://arxiv.org/abs/2501.03575,evidence/23c7c4048d62a33995df.json
Cosmos-Drive-Dreams: Scalable Synthetic Driving Data Generation with World Foundation Models,"Ren, Xuanchi",2025,Environment,世界模型与模拟器,https://arxiv.org/abs/2506.09042,evidence/af5b1b7a935e5693e53b.json
Decoupled Diffusion Sparks Adaptive Scene Generation,"Zhou, Yunsong",2025,Environment,具身、游戏与模拟环境,https://arxiv.org/abs/2504.10485,evidence/d5d0b6b2d6e698f23ee2.json
DreamGen: Unlocking Generalization in Robot Learning through Video World Models,"Jang, Joel",2025,Environment,世界模型与模拟器,https://arxiv.org/abs/2505.12705,evidence/3de660eacc86a28a3e57.json
Factorio Learning Environment,"Hopkins, Jack",2025,Environment,具身、游戏与模拟环境,https://arxiv.org/abs/2503.09617,evidence/da8612d7764aacc0daad.json
GAIA-2: A Controllable Multi-View Generative World Model for Autonomous Driving,"Russell, Lloyd",2025,Environment,世界模型与模拟器,https://arxiv.org/abs/2503.20523,evidence/086cbc4634cdd975e5c5.json
GameFactory: Creating New Games with Generative Interactive Videos,"Yu, Jiwen",2025,Environment,世界模型与模拟器,https://arxiv.org/abs/2501.08325,evidence/fc1e4cb32d7497bb5efa.json
Genie Envisioner: A Unified World Foundation Platform for Robotic Manipulation,"Liao, Yue",2025,Environment,世界模型与模拟器,https://arxiv.org/abs/2508.05635,evidence/a5f9e7ed76a61278d803.json
InfCode: Adversarial Iterative Refinement of Tests and Patches for Reliable Software Issue Resolution,"Li, KeFan",2025,Agent,软件工程与代码智能体,https://arxiv.org/abs/2511.16004,evidence/a658384cae89eb0df9ec.json
KORGym: A Dynamic Game Platform for LLM Reasoning Evaluation,"Shi, Jiajun",2025,Environment,具身、游戏与模拟环境,https://arxiv.org/abs/2505.14552,evidence/9cf791269e59c39a896f.json
KernelBench: Can LLMs Write Efficient GPU Kernels?,"Ouyang, Anne",2025,Environment,交互环境与评测基准,https://arxiv.org/abs/2502.10517,evidence/75d483d1dc3d6e8b171a.json
Matrix-Game: Interactive World Foundation Model,"Zhang, Yifan",2025,Environment,世界模型与模拟器,https://arxiv.org/abs/2506.18701,evidence/5a443dc797980710c801.json
Matrix-game 2.0: An open-source real-time and streaming interactive world model,"He, Xianglong",2025,Environment,世界模型与模拟器,https://arxiv.org/abs/2508.13009,evidence/4587e826aac28be8f09c.json
Measuring General Intelligence with Generated Games,"Verma, Vivek",2025,Environment,环境生成与演化,https://arxiv.org/abs/2505.07215,evidence/915c099a28c50d333b95.json
MineWorld: a Real-Time and Open-Source Interactive World Model on Minecraft,"Guo, Junliang",2025,Environment,世界模型与模拟器,https://arxiv.org/abs/2504.08388,evidence/de4e75389ca2fe516eec.json
"Model Context Protocol (MCP): Landscape, Security Threats, and Future Research Directions","Hou, Xinyi",2025,Harness,工具调用与接口,https://arxiv.org/abs/2503.23278,evidence/44420ea2f77d15cd746a.json
NeuralOS: Towards Simulating Operating Systems via Neural Generative Models,"Rivard, Luke",2025,Environment,世界模型与模拟器,https://arxiv.org/abs/2507.08800,evidence/9138f9aae055e6e9e5c9.json
"OpenFOAMGPT 2.0: end-to-end, trustworthy automation for computational fluid dynamics","Feng, Jingsen",2025,Agent,科学与研究智能体,https://arxiv.org/abs/2504.19338,evidence/bdba03c965b3783fb91c.json
PaperBench: Evaluating AI’s Ability to Replicate AI Research,Giulio Starace,2025,Environment,交互环境与评测基准,https://proceedings.mlr.press/v267/starace25a.html,evidence/9c37b8d188f6084e39b7.json
RLVE: Scaling Up Reinforcement Learning for Language Models with Adaptive Verifiable Environments,"Zeng, Zhiyuan",2025,Environment,环境生成与演化,https://arxiv.org/abs/2511.07317,evidence/5574baee2b14fd19fd96.json
Reasoning Core: A Scalable RL Environment for LLM Symbolic Reasoning,"Lacombe, Valentin",2025,Environment,环境生成与演化,https://arxiv.org/abs/2509.18083,evidence/0d9075b942324701275e.json
SIADAFIX: issue description response for adaptive program repair,"Cao, Xin",2025,Agent,软件工程与代码智能体,https://arxiv.org/abs/2510.16059,evidence/6180f84c00d34f29ce9e.json
SPIN-Bench: How Well Do LLMs Plan Strategically and Reason Socially?,"Yao, Jianzhu",2025,Environment,交互环境与评测基准,https://arxiv.org/abs/2503.12349,evidence/32da789f72478f9ada57.json
Scenario Dreamer: Vectorized Latent Diffusion for Generating Driving Simulation Environments,"Rowe, Luke",2025,Environment,世界模型与模拟器,https://openaccess.thecvf.com/content/CVPR2025/html/Rowe_Scenario_Dreamer_Vectorized_Latent_Diffusion_for_Generating_Driving_Simulation_Environments_CVPR_2025_paper.html,evidence/dcb2df75b71bfefcf919.json
